	text	label
0	muslim sex goat wipe ass hand drink camel piss im unclean one	1
1	taking nap walmart	0
2	shes mad want attention	0
3	he marrying why fucking goat	0
4	think beautiful beck yet shes getting	0
5	islam love ariana grande yeah youre goat	1
6	excuse anyone wear dress	0
7	told goat fucker suck star spangled dick	1
8	german british danish austrian diversity apparently dont guy iraqi pakistani syrian egyptian	1
9	eat as say dont suck dick wayment	0
10	chillin chromies	1
11	shes trying hardest make cum already visited favorite goat	1
12	since thousand black peoplehave murdered black people thats soldier killed iraq war korean war vietnam combined see problem	1
13	afghan muslim men make look like girl sex little boy stop abuse	1
14	hahaha fuck bitch	0
15	knew country full white trash	0
16	messed accidentally make baby cant accidentally make pizza	0
17	oh youre tired antitrump post dont pray stop	0
18	making quick snack	0
19	felling cute might fuck goat later idk	1
20	dont rude folk go page wish happy easter	0
21	serb kid start talking mad shit	1
22	little one brings home first girlfriend	0
23	banality evil	0
24	never forget said proof forgotten	1
25	enemy within linda sarsour ocasiocortez rashida tlaib ilhan omar	0
26	sandwich maker slow today	1
27	glad youre home russian pooped hallway	0
28	edition dont buy property steal	0
29	justin come chevy faggot mad	1
30	would rather gay son thug son	1
31	make meme using different language everyone still understand e mucho pero e trabajo honesto	0
32	silence female retard	1
33	start nazi party wage war culture	0
34	wife come home early valve cover dishwasher still rinse	0
35	chinese ppl like happy thanksgiving	0
36	two gender male female	1
37	incest never go wrong	1
38	white people shooting range	0
39	hello brother wait shotgun	0
40	partial art	0
41	want play day	0
42	shopping boring fun walmart parking lot	0
43	kill killer number killer world remains batman lol okay faggot punisher	1
44	want yell maga punch jussie smollet	0
45	girl asks mom black youre white say way party went youre lucky dont bark	1
46	need job democrat party hiring experience intelligence required	0
47	im saying muslim muslim	0
48	black neighbor called cop	1
49	call pool full handicap people vegetable soup	1
50	section devide rule religionbased riot crime trust upon hindu even though hindu get killed hand minority taken guilty	1
51	holding cooking class disability give new form independence	0
52	dont think understands gravity situation	0
53	who knock knock bitch obviously	1
54	washington cornwallis laguardia	0
55	yet	0
56	raise destroy flag really people want	0
57	shut fuck feminist angry tomboyish lesbian	0
58	blind people happy see new emojis	1
59	run forrest run	0
60	catch goat running farm ya done fucked	0
61	proving grown adult bully	0
62	today news peaceful terrorist blowing shit	0
63	love boneless jungle ham	0
64	finally headshot black people	1
65	hair half half	0
66	look bright side half black	1
67	kick islam america cant walk god holding hand devil	1
68	tell get ready go youre going walmart	0
69	havent robbed week	1
70	virgin ready get fucked	1
71	believe like racism shouldnt exist	1
72	made rice krispies way kellogs	1
73	sure youre funny stupid	0
74	islam religion peace dont believe blow	1
75	look give got fix kid	1
76	survives ebola thankful see another day	0
77	bos call day oh fuck youre gon na make come	0
78	would kid think mixed punk rap	0
79	careful pedestrian	0
80	jesus take wheel carlos take stereo ill take lookout	1
81	one sold item holiday season	0
82	attack one muslim attacking muslim attack one american attacking american	0
83	transgendered year old like vegan cat know making lifestyle choice	1
84	time meet king arthur round table	0
85	say dirty infidel say filthy goy make become cucks ill mow truck side side white genocide	1
86	cant wait name almost month	0
87	beauty shot girlfriend focusing different thought idea	0
88	trump walmart selling american made appliance	1
89	buckle sugar tit cause im take pound town fuck truck	0
90	im fucking gay cant even think straight	0
91	rose red violet fuck count potatoe firetruck	0
92	best thing ethiopian blowjob know shes gon na swallow	1
93	youre proud white radio station	0
94	offends ban agree	0
95	inbreeding dangerous wrong stand living proof	1
96	find girl like doesnt like dank meme got fucked bet wipe back front thot foolish hoe hope die	0
97	call man paid bride price marry	0
98	father mother like boxer	0
99	perfect bag doesnt exi	0
100	jamal im pregnant	1
101	shut ontario	0
102	fuck final thought making decision	0
103	wheres water	0
104	soon free	0
105	knock knock who parent open damn door	0
106	tweekers like yall hear shit	0
107	group baboon called congress suddenly make sense	0
108	lady amused	0
109	ya partner see unarmed black youth	1
110	doesnt matter good grade high iq lack logic reason common sense youre fucking stupid	0
111	whenever feel stupid remember people throw stone wall aiming invisible devil told invisible god invisible heaven	1
112	kill many want stupid government keep bringing u	1
113	child protective service take away child parent dont vaccinate theyre perfectly fine	1
114	told girlfriend mom deaf speak loud slow told mom girlfriend retarded	1
115	anything doesnt belong black people	1
116	favorite sex position challenger go hard second prematurley blow	0
117	dont always sweaty ball theyre wetter tiajuana hooker spring break smell like zombie vagina	0
118	destroy world kill lot people know history learn	0
119	im long strong get goat hump	0
120	youre happy n family	0
121	coined new phrase muslim terrorist proxy jew	1
122	dick good made pussy retarded	1
123	palestine human being dont deserve live nothing animal	1
124	michelle jealous didnt get yummy hog dog eat	0
125	slipped fell black ice thought regular ice got wallet gone	1
126	kill jew muslim antiwhite	1
127	yes ordered justice department prosecute hillary clinton donald trump frame going	0
128	uncivilized typical nigger	1
129	gas bill high	0
130	every time im public there many people earth need new plague	0
131	clint eastwood michelle obama	0
132	like people forgot area started wanting look like year old	0
133	rare picture beautiful jewish girl anne frank	0
134	call black guy tree briefcase branch manager	0
135	often eat vegetablesbu	0
136	muslim terrorist spy anti semite poster child left	0
137	obama working legalize medical cannabis usa	0
138	younglings cornered room fun begin	0
139	kid never know awful feeling realizing there vhs tape behind box video store	0
140	hate see black neighborhood still offer neighbor candle	1
141	try catch dark type pokemon	1
142	yo dude passed aux cord	0
143	happy kid	0
144	somewhere galaxy far far away someone say nword	0
145	dropping blessing year like	0
146	talking shit trump since day one cry like bitch getting called	0
147	adhd well know place send youll learn concentrate	1
148	show intolerance others religion expect highest level tolerance	1
149	kill american remind islam peaceful	1
150	either work im screwed	0
151	white kid kid dreaming first day school	1
152	kill messenger cant kill message	0
153	forget forget	0
154	swear harvey chasing fly last year	0
155	derek chauvin need protection definitely get attacked	0
156	good ekse	0
157	trying part	0
158	grabbed booty like yahhhhhh	0
159	guess whose house wasnt raided fbi	0
160	donald trump proving dont poor white trash	1
161	seriously mate whats fuckin point	0
162	know pulled scored low asvab	0
163	indian man marries scratch dot wife forehead see he gas station motel subway restaurant	1
164	could u keep escaping	0
165	third person tag list owes nigger	1
166	said woman cant park	1
167	face make youve left plantation longer think like	1
168	way boil vegetable	0
169	sacred cross sound like bullshit let call friend who expert bullshit fairy tale	0
170	ancestor july dummy today july	0
171	happy president day mr president	0
172	democrat difficult time connecting voter smart know much sen mazie hirono hi	0
173	turn	0
174	new boy firend	0
175	thats black people expect	1
176	dont let group get down	0
177	white men look theyve already called cop	1
178	step lego front porch	0
179	equality work place finest	0
180	time youll see muslim hugging pig	1
181	fuck puto	0
182	old as honky porch monkey look woman step johnny law	1
183	porn video feature tranny turn midget curiosity attention	1
184	kill many want stupid government keep bringing u	0
185	immigrant wave flag invader wave	0
186	trained hate man ball stand	1
187	back murderer fight justice	0
188	dope man tell youre onna earn front poop	0
189	pick jewish chick	1
190	wife secretly dinosaur dont find givs birth four crossbreed raptor	0
191	new swing set installed linkin park	1
192	kkk ever let black men	0
193	school shooter finally leaf hottest girl class laying dead floor free real estate	1
194	contries porkistan	1
195	youre fuhrking back say ill pay gas bill daddy	1
196	finally get go outside barn winter	0
197	ugly mafuckas like bru know want got dread	0
